biological_family,spore_size_um,spore_shape,wall_type,ornamentation,gene_ITS,genetic_cluster,gc_content,habitat_type,elevation_m,mean_temp_c,pH,conductividad_ds_m,nitrogeno_total_pct,textura_Arcillosa,textura_Arenosa,textura_Franca,textura_Limosa
Agaricaceae,99.17,2,0,2,1.0,2,50.38,0,2060.0,14.7,-0.1726292274959767,-0.8284189858026515,0.3846027458721287,1.0,0.0,0.0,0.0
Agaricaceae,295.49,0,1,1,1.0,2,41.35,0,2295.0,13.4,-0.2641453782299721,-0.7777210719457498,-0.1100121506473632,0.0,1.0,0.0,0.0
Agaricaceae,170.92,0,1,1,0.0,2,44.6,1,1666.0,16.8,0.518826133605316,-0.8284189858026515,-0.3869964926982791,1.0,0.0,0.0,0.0
Agaricaceae,297.48,1,1,2,1.0,0,52.26,0,2438.0,12.6,-0.4980199856612914,-0.8284189858026515,-1.5542876484842805,1.0,0.0,0.0,0.0
Agaricaceae,124.16,2,0,2,1.0,0,47.73,1,1330.0,18.7,-0.5997045975879518,-0.8284189858026515,0.1076184038212128,0.0,0.0,1.0,0.0
Agaricaceae,126.37,2,0,3,1.0,1,50.74,0,2715.0,11.1,-1.4640237989645686,-0.0130275379374832,1.314478751328774,0.0,0.0,1.0,0.0
Agaricaceae,73.47,1,2,2,1.0,2,46.06,0,2415.0,12.7,0.0409084575500108,-0.8284189858026515,-0.0704429589258038,0.0,0.0,1.0,0.0
Agaricaceae,117.99,1,0,2,0.0,2,38.95,0,2155.0,14.1,-1.4741922601572346,4.423039924541411,0.166972191403552,1.0,0.0,0.0,0.0
Agaricaceae,87.05,1,2,2,1.0,2,47.36,1,1221.0,19.3,0.3561307545226587,-0.8284189858026515,-1.5542876484842805,0.0,1.0,0.0,0.0
Agaricaceae,234.19,1,1,1,1.0,2,47.97,0,2282.0,13.4,-0.0404392319913178,0.1496282690200761,-1.099241943686348,0.0,1.0,0.0,0.0
Agaricaceae,214.13,0,1,1,1.0,0,44.64,3,3758.0,5.3,-1.1081276572212555,-0.2876412379957005,-1.2377341147118053,0.0,0.0,0.0,1.0
Agaricaceae,91.53,1,0,0,1.0,2,46.9,0,2467.0,12.4,-0.152292305110645,0.4432536867746315,-0.5650578554452959,1.0,0.0,0.0,0.0
Agaricaceae,84.54,2,1,0,1.0,2,48.02,1,1846.0,15.8,-0.7623999766706091,4.078716592929954,-1.099241943686348,0.0,1.0,0.0,0.0
Agaricaceae,75.29,1,2,2,0.0,0,51.94,1,1800.0,16.1,-0.4268407573126286,-0.4946577195780489,-1.1388111354079071,1.0,0.0,0.0,0.0
Agaricaceae,94.81,1,0,2,1.0,2,45.57,3,3241.0,8.2,0.9153961201192926,0.8171508014692812,-0.0308737672042444,0.0,1.0,0.0,0.0
Agaricaceae,78.25,2,0,2,1.0,2,47.67,2,4024.0,3.9,-0.8844215109826021,-0.8284189858026515,-0.3869964926982791,0.0,0.0,0.0,1.0
Agaricaceae,117.9,2,0,2,1.0,1,52.08,3,3812.0,5.0,-0.3454930677712999,-0.6509762873034957,0.6813716837838242,0.0,0.0,0.0,1.0
Agaricaceae,130.86,1,0,0,1.0,2,47.71,2,4145.0,3.2,0.3052884485593285,-0.7481472888625571,1.057279005138638,1.0,0.0,0.0,0.0
Agaricaceae,135.02,1,0,2,1.0,2,49.05,3,3339.0,7.6,-0.518356908046624,-0.8284189858026515,0.2461105748466708,0.0,0.0,1.0,0.0
Agaricaceae,90.46,2,0,2,0.0,3,54.65,3,3756.0,5.3,-1.2504861139185812,-0.6763252442319465,0.2065413831251114,1.0,0.0,0.0,0.0
Agaricaceae,96.91,1,0,2,1.0,2,44.55,1,1234.0,19.2,1.3526399514039344,-0.5411308072802088,-0.822257601635432,0.0,0.0,0.0,1.0
Agaricaceae,90.9,2,0,2,1.0,0,43.13,3,3453.0,7.0,-0.1014499991473148,1.163586546158109,-0.3869964926982791,0.0,0.0,1.0,0.0
Agaricaceae,122.48,1,0,2,1.0,2,54.46,3,3155.0,8.6,0.9865753484679556,1.450874724680552,-0.0704429589258038,0.0,0.0,1.0,0.0
Agaricaceae,117.98,1,0,0,0.0,3,49.62,0,2785.0,10.7,0.335793832137327,-0.3214398472336349,0.9979252175562988,0.0,0.0,1.0,0.0
Agaricaceae,69.47,1,2,2,1.0,2,45.93,0,2221.0,13.8,-0.6912207483219472,-0.6171776780655612,0.2263259789858911,0.0,0.0,0.0,1.0
Agaricaceae,89.56,2,1,2,1.0,0,54.55,0,2195.0,13.9,-0.2539769170373054,-0.8284189858026515,-0.6837654306099741,1.0,0.0,0.0,0.0
Agaricaceae,61.86,1,2,2,1.0,1,45.87,3,3517.0,6.7,0.335793832137327,-0.8284189858026515,-1.692779819509738,1.0,0.0,0.0,0.0
Agaricaceae,85.37,2,0,2,1.0,0,45.65,0,2015.0,14.9,1.4746614857159277,1.4973478123827118,-1.5542876484842805,0.0,0.0,1.0,0.0
Agaricaceae,90.26,2,0,2,1.0,2,47.38,1,1655.0,16.9,-0.5590307528172874,-0.8178569204157969,-0.4463502802806182,0.0,0.0,0.0,1.0
Agaricaceae,70.89,1,2,2,0.0,2,40.46,0,2078.0,14.6,0.0714138411280083,-0.8284189858026515,0.7407254713661627,0.0,0.0,1.0,0.0
Agaricaceae,190.62,0,1,1,1.0,2,46.45,3,3435.0,7.1,-1.5148661049278989,1.84378355707154,-0.1100121506473632,1.0,0.0,0.0,0.0
Agaricaceae,61.2,1,2,2,1.0,1,44.31,3,3262.0,8.1,-0.2641453782299721,-0.8051824419515715,-1.4949338609019414,0.0,0.0,0.0,1.0
Agaricaceae,68.94,1,2,2,1.0,0,50.49,3,3895.0,4.6,0.3764676769079913,-0.8284189858026515,-0.4661348761413979,1.0,0.0,0.0,0.0
Agaricaceae,90.77,1,0,0,1.0,2,46.69,0,2722.0,11.0,0.2341092202106657,-0.6467514611487539,-0.1693659382297024,0.0,0.0,1.0,0.0
Agaricaceae,127.88,2,1,0,0.0,2,44.33,3,3840.0,4.9,-0.1014499991473148,-0.300315716459926,0.4241719375936881,0.0,0.0,1.0,0.0
Agaricaceae,118.87,1,0,2,0.0,2,48.55,3,3288.0,7.9,-1.2199807303405827,-0.4756460018817108,0.8990022382524004,0.0,0.0,0.0,1.0
Agaricaceae,99.74,2,0,2,1.0,1,51.56,3,3063.0,9.2,0.7730376634219679,2.251479281004124,-0.0110891713434647,0.0,0.0,1.0,0.0
Agaricaceae,211.89,0,1,2,0.0,0,50.19,1,1979.0,15.1,-0.9556007393312648,2.205006193301964,0.2461105748466708,0.0,0.0,1.0,0.0
Agaricaceae,79.6,1,2,2,0.0,1,44.11,1,1702.0,16.6,-1.4538553377719028,-0.8284189858026515,1.7101706685443672,1.0,0.0,0.0,0.0
Agaricaceae,285.38,0,1,1,1.0,1,46.76,3,3654.0,5.9,0.5696684395686462,-0.8284189858026515,2.461985311253996,0.0,1.0,0.0,0.0
Agaricaceae,142.69,1,1,0,1.0,0,45.56,0,2951.0,9.8,2.1966222303952176,-0.5136694372743871,0.3054643624290099,1.0,0.0,0.0,0.0
Agaricaceae,171.45,0,1,1,0.0,0,54.91,3,3860.0,4.8,0.4476469052566532,-0.5960535472918523,1.6706014768228077,0.0,0.0,1.0,0.0
Agaricaceae,129.44,1,0,2,1.0,3,47.01,0,2228.0,13.7,-0.8234107438266061,-0.8284189858026515,-1.2773033064333643,1.0,0.0,0.0,0.0
Agaricaceae,149.02,2,1,0,0.0,2,48.39,2,4014.0,3.9,0.7933745858072996,1.596631227019144,0.9979252175562988,0.0,0.0,1.0,0.0
Agaricaceae,92.82,2,0,0,1.0,2,47.66,1,1592.0,17.2,-1.6673930228178904,-0.8284189858026515,-1.316872498154924,0.0,0.0,0.0,1.0
Agaricaceae,51.74,1,2,2,0.0,2,46.97,0,2684.0,11.2,-1.372507648230574,-0.8284189858026515,1.1166327927209772,0.0,0.0,0.0,1.0
Agaricaceae,124.24,1,0,2,1.0,2,43.28,3,3996.0,4.0,0.4476469052566532,0.217225487495945,-1.6136414360666196,0.0,0.0,1.0,0.0
Agaricaceae,145.29,2,0,2,1.0,2,47.49,1,1740.0,16.4,0.6408476679173091,0.7960266706955722,0.2658951707074505,0.0,0.0,0.0,1.0
Agaricaceae,113.63,1,0,2,1.0,1,50.96,3,3772.0,5.3,0.7730376634219679,-0.3700253480131657,-2.0489025450037723,0.0,0.0,1.0,0.0
Agaricaceae,79.98,1,2,2,1.0,2,44.87,0,2383.0,12.9,1.1492707275506129,0.6650570598985764,-1.7323490112312974,0.0,0.0,1.0,0.0
Agaricaceae,138.95,1,0,0,0.0,0,50.0,0,2922.0,9.9,-0.8640845885972704,-0.8284189858026515,0.2658951707074505,1.0,0.0,0.0,0.0
Agaricaceae,122.43,2,0,2,1.0,2,44.9,0,2797.0,10.6,-0.2844823006153039,-0.8284189858026515,-0.4463502802806182,0.0,0.0,1.0,0.0
Agaricaceae,113.18,1,1,0,1.0,3,52.17,0,2506.0,12.2,0.45781536644932,-0.6509762873034957,-0.5452732595845167,1.0,0.0,0.0,0.0
Agaricaceae,91.86,2,0,3,1.0,2,46.51,0,2482.0,12.3,-0.8945899721752679,0.3904433598403591,-0.4067810885590588,0.0,0.0,1.0,0.0
Agaricaceae,62.86,1,2,2,0.0,0,44.36,1,1909.0,15.5,-1.5657084108912291,-0.2031447149008644,0.3054643624290099,0.0,1.0,0.0,0.0
Agaricaceae,121.81,2,0,2,1.0,1,47.59,1,1848.0,15.8,0.1832669142473355,-0.232718497984057,0.4637411293152475,0.0,0.0,1.0,0.0
Agaricaceae,123.96,1,0,2,1.0,0,48.18,0,2336.0,13.2,0.5391630559906477,0.3756564682987628,-1.2179495188510254,0.0,1.0,0.0,0.0
Agaricaceae,104.25,2,0,2,1.0,0,45.0,1,1763.0,16.3,-0.9861061229092634,-0.7249107450114772,0.4439565334544678,0.0,0.0,1.0,0.0
Agaricaceae,192.0,0,1,2,1.0,2,46.39,1,1841.0,15.9,0.9357330425046252,2.401460609497458,0.9583560258347394,0.0,1.0,0.0,0.0
Agaricaceae,70.24,1,2,2,0.0,3,47.82,0,2054.0,14.7,0.7425322798439694,-0.5812666557502559,1.690386072683587,1.0,0.0,0.0,0.0
Agaricaceae,116.63,1,0,0,0.0,2,45.73,0,2959.0,9.7,-0.8132422826339393,1.4973478123827118,0.0482646162388743,0.0,0.0,0.0,1.0
Agaricaceae,80.19,1,0,2,1.0,3,46.64,0,2353.0,13.1,0.0510769187426766,0.7242046260649615,0.859433046530841,0.0,0.0,0.0,1.0
Agaricaceae,289.43,0,1,1,1.0,0,52.69,0,2276.0,13.5,2.318643764707212,-0.5981659603692232,0.6220178962014852,0.0,1.0,0.0,0.0
Agaricaceae,230.97,1,1,2,0.0,2,44.52,0,2035.0,14.8,-1.1284645796065882,0.3904433598403591,0.7011562796446034,0.0,1.0,0.0,0.0
Agaricaceae,69.82,1,2,2,1.0,0,46.83,1,1493.0,17.8,0.0205715351646781,-0.4967701326554198,0.7209408755053831,0.0,1.0,0.0,0.0
Agaricaceae,172.75,1,1,2,0.0,0,48.75,3,3527.0,6.6,-0.6912207483219472,0.1432910297879636,0.9979252175562988,0.0,1.0,0.0,0.0
Agaricaceae,59.17,1,2,2,1.0,3,44.2,3,3391.0,7.3,-0.701389209514613,-0.8220817465705388,-1.1783803271294662,0.0,0.0,1.0,0.0
Agaricaceae,106.9,2,0,2,1.0,1,50.41,3,3711.0,5.6,-1.2504861139185812,-0.3446763910847149,-0.8618267933569914,0.0,1.0,0.0,0.0
Agaricaceae,104.58,2,0,2,1.0,0,49.49,3,3155.0,8.6,1.7695468603032427,2.287390303319429,1.532109305797351,1.0,0.0,0.0,0.0
Agaricaceae,148.94,2,1,0,1.0,1,49.76,0,2569.0,11.9,-1.311496881074577,-0.3594632826263111,-1.8708411822567557,0.0,1.0,0.0,0.0
Agaricaceae,101.8,1,1,2,1.0,2,47.57,3,3186.0,8.5,0.9052276589266268,1.3706030277404575,0.0284800203780946,0.0,1.0,0.0,0.0
Agaricaceae,63.41,1,2,2,1.0,1,48.22,1,1346.0,18.6,1.0170807320459538,0.2573613359659922,-1.1783803271294662,0.0,0.0,1.0,0.0
Agaricaceae,286.91,0,1,1,1.0,2,48.81,1,1688.0,16.7,0.7527007410366353,-0.8284189858026515,-0.4067810885590588,1.0,0.0,0.0,0.0
Agaricaceae,57.38,1,2,2,0.0,2,45.86,3,3585.0,6.3,-1.3013284198819113,-0.8284189858026515,0.2856797665682302,1.0,0.0,0.0,0.0
Agaricaceae,266.33,1,1,1,0.0,2,47.28,3,3720.0,5.5,0.1019192247060068,0.5108509052505005,-0.2485043216728212,0.0,0.0,0.0,1.0
Agaricaceae,119.05,2,0,2,1.0,2,48.54,0,2527.0,12.1,-1.2911599586892455,-0.6002783734465941,0.8000792589485018,0.0,0.0,0.0,1.0
Agaricaceae,92.78,1,0,2,1.0,2,48.03,3,3501.0,6.7,2.1356114632392225,1.1128886323012073,1.8882320312913845,0.0,0.0,1.0,0.0
Agaricaceae,94.31,2,0,3,0.0,1,50.87,3,3301.0,7.8,0.884890736541295,-0.8284189858026515,0.0284800203780946,0.0,1.0,0.0,0.0
Agaricaceae,265.64,1,1,2,1.0,0,51.83,2,4161.0,3.1,-0.2539769170373054,-0.6594259396129794,1.6310322851012482,0.0,0.0,0.0,1.0
Agaricaceae,108.9,1,0,0,1.0,2,43.56,3,3119.0,8.8,1.088259960394616,-0.2369433241387988,0.9979252175562988,0.0,1.0,0.0,0.0
Agaricaceae,84.78,1,0,3,1.0,3,49.78,0,2077.0,14.6,0.8137115081926323,-0.1608964533534464,-1.831271990535196,1.0,0.0,0.0,0.0
Agaricaceae,238.53,1,1,2,0.0,2,48.75,2,4069.0,3.6,1.3017976454406033,-0.8284189858026515,-0.2287197258120415,0.0,0.0,1.0,0.0
Agaricaceae,76.8,1,2,2,1.0,2,50.56,2,4048.0,3.7,-0.1624607663033108,1.6621160324176418,-0.8024730057746523,0.0,0.0,0.0,1.0
Agaricaceae,74.63,1,2,2,1.0,2,50.68,1,1839.0,15.9,0.6103422843393106,-0.2665171072219915,0.1076184038212128,0.0,0.0,1.0,0.0
Agaricaceae,126.61,1,0,2,0.0,0,44.93,3,3997.0,4.0,-0.1827976886886435,0.0947055290084328,-0.7431192181923132,0.0,1.0,0.0,0.0
Agaricaceae,112.93,1,0,2,0.0,3,44.19,3,3285.0,7.9,-0.3556615289639667,-0.6974493750056554,-0.4661348761413979,0.0,1.0,0.0,0.0
Agaricaceae,137.82,1,0,2,1.0,0,47.34,1,1762.0,16.3,-0.5997045975879518,-0.5897163080597396,-0.1693659382297024,0.0,0.0,1.0,0.0
Agaricaceae,53.58,1,2,2,1.0,2,43.51,3,3685.0,5.7,-0.8640845885972704,1.814209773988347,1.9475858188737236,0.0,0.0,1.0,0.0
Agaricaceae,110.08,1,0,2,0.0,2,52.16,3,3274.0,8.0,0.213772297825334,-0.3024281295372968,-0.3672118968374994,0.0,0.0,0.0,1.0
Agaricaceae,80.59,2,0,2,1.0,2,48.26,1,1997.0,15.0,-0.5081884468539573,0.371431642144021,-0.6837654306099741,0.0,1.0,0.0,0.0
Agaricaceae,115.49,2,0,2,0.0,2,46.0,0,2159.0,14.1,-1.4640237989645686,-0.6066156126787068,0.3054643624290099,0.0,0.0,0.0,1.0
Agaricaceae,120.61,2,0,2,1.0,2,50.46,1,1652.0,16.9,-0.2438084558446395,-0.8284189858026515,-0.7035500264707538,0.0,0.0,0.0,1.0
Agaricaceae,141.8,2,0,2,1.0,1,50.08,0,2443.0,12.6,-1.0471168900652594,-0.2686295202993624,0.4043873417329084,0.0,0.0,1.0,0.0
Agaricaceae,90.87,2,0,3,0.0,2,40.25,3,3405.0,7.3,-0.0506076931839837,-0.0341516687111923,-0.822257601635432,0.0,0.0,0.0,1.0
